customer_id,persona,month,salary,other_credit,total_credit,total_debit,emi,balance
1,overspender,1,31158.88,2229.16,33388.04,58844.07,6772,17701.97
1,overspender,2,30346.82,714.33,31061.16,38441.9,6772,10321.23
1,overspender,3,29491.09,3609.99,33101.08,40521.8,6772,2900.51
1,overspender,4,29319.4,4961.06,34280.46,41724.3,6772,-4543.32
1,overspender,5,31204.56,35.33,31239.89,56537.38,6772,-29840.81
1,overspender,6,30550.97,233.33,30784.3,38159.62,6772,-37216.12
1,overspender,7,30035.33,453.03,30488.36,37857.88,6772,-44585.64
1,overspender,8,30497.28,4916.15,35413.43,42879.47,6772,-52051.68
1,overspender,9,31970.78,3401.54,35372.31,42837.55,6772,-59516.91
1,overspender,10,29357.94,4711.01,34068.94,56282.66,6772,-81730.62
1,overspender,11,29366.27,1154.47,30520.74,47114.85,6772,-98324.73
1,overspender,12,32759.42,4165.97,36925.4,44421.07,6772,-105820.4
1,overspender,13,32050.0,911.18,32961.18,40379.16,6772,-113238.38
1,overspender,14,32160.48,1039.71,33200.19,40622.85,6772,-120661.04
1,overspender,15,30884.31,4211.42,35095.74,42555.55,6772,-128120.86
1,overspender,16,32063.26,4633.29,36696.55,44187.74,6772,-135612.04
1,overspender,17,31840.94,2852.22,34693.16,42145.08,6772,-143063.97
1,overspender,18,33897.34,4222.67,38120.0,45639.09,6772,-150583.05
1,overspender,19,32531.61,2933.76,35465.37,42932.43,6772,-158050.11
1,overspender,20,32749.82,1380.0,34129.82,41570.7,6772,-165490.99
1,overspender,21,31318.36,78.18,31396.55,38783.86,6772,-172878.3
1,overspender,22,32062.38,1467.44,33529.83,47988.88,6772,-187337.36
1,overspender,23,33087.81,3950.88,37038.69,61243.03,6772,-211541.69
1,overspender,24,34458.85,4574.8,39033.64,46570.63,6772,-219078.68
2,overspender,1,80818.03,3648.03,84466.06,83614.31,6645,29450.74
2,overspender,2,85441.06,2361.07,87802.13,86654.3,6645,30598.58
2,overspender,3,84010.07,3803.93,87813.99,86665.1,6645,31747.47
2,overspender,4,84484.87,2468.98,86953.85,85881.3,6645,32820.02
2,overspender,5,81659.98,127.1,81787.08,81173.1,6645,33433.99
2,overspender,6,78401.72,3182.05,81583.78,80987.85,6645,34029.92
2,overspender,7,82326.5,4537.83,86864.33,85799.73,6645,35094.52
2,overspender,8,81518.85,3777.76,85296.6,84371.14,6645,36019.98
2,overspender,9,78776.41,1448.76,80225.16,79749.82,6645,36495.33
2,overspender,10,85790.52,4040.6,89831.12,125614.56,6645,711.89
2,overspender,11,84753.89,932.85,85686.74,128219.97,6645,-41821.35
2,overspender,12,89024.12,4480.46,93504.58,91850.63,6645,-40167.39
2,overspender,13,83000.87,1139.68,84140.54,83317.69,6645,-39344.54
2,overspender,14,89115.46,4303.65,93419.11,139050.44,6645,-84975.88
2,overspender,15,85655.49,1110.54,86766.03,85710.15,6645,-83920.0
2,overspender,16,84966.3,4714.55,89680.85,88366.27,6645,-82605.42
2,overspender,17,86531.09,3515.09,90046.19,88699.18,6645,-81258.41
2,overspender,18,90443.53,4812.24,95255.76,93446.38,6645,-79449.03
2,overspender,19,86345.04,1504.39,87849.43,86697.39,6645,-78297.0
2,overspender,20,82368.95,3047.82,85416.77,84480.65,6645,-77360.87
2,overspender,21,82494.98,1393.23,83888.21,83087.75,6645,-76560.41
2,overspender,22,84119.43,724.47,84843.9,114557.89,6645,-106274.4
2,overspender,23,84140.96,3360.68,87501.64,126618.81,6645,-145391.57
2,overspender,24,92546.54,1838.92,94385.45,92653.32,6645,-143659.44
3,saver,1,62438.21,2540.99,64979.21,21275.15,608,93246.05
3,saver,2,67016.51,1629.79,68646.3,22441.5,608,139450.85
3,saver,3,66064.1,4047.51,70111.6,22907.55,608,186654.9
3,saver,4,62085.34,4702.62,66787.96,21850.44,608,231592.42
3,saver,5,64812.85,4188.55,69001.4,22554.44,608,278039.37
3,saver,6,66219.8,1045.36,67265.16,22002.22,608,323302.32
3,saver,7,65964.69,1142.75,67107.44,21952.05,608,368457.7
3,saver,8,67817.53,2583.18,70400.71,22999.51,608,415858.9
3,saver,9,67908.66,4827.1,72735.76,23742.19,608,464852.48
3,saver,10,67173.58,943.54,68117.12,29022.95,608,503946.64
3,saver,11,66940.83,4281.62,71222.45,31456.75,608,543712.34
3,saver,12,70316.86,4678.17,74995.03,24460.77,608,594246.61
3,saver,13,69080.89,2903.43,71984.32,23503.19,608,642727.75
3,saver,14,70922.85,4868.32,75791.17,24713.99,608,693804.93
3,saver,15,66610.68,2428.07,69038.75,22566.32,608,740277.36
3,saver,16,71291.89,879.63,72171.52,36117.74,608,776331.14
3,saver,17,65751.05,1832.34,67583.39,22103.44,608,821811.09
3,saver,18,69433.81,1540.3,70974.11,23181.88,608,869603.33
3,saver,19,67992.78,3181.66,71174.44,23245.6,608,917532.17
3,saver,20,68543.42,4894.46,73437.88,23965.5,608,967004.55
3,saver,21,70691.65,2171.97,72863.62,23782.85,608,1016085.32
3,saver,22,68918.63,3344.62,72263.25,36133.46,608,1052215.11
3,saver,23,67927.42,2860.02,70787.44,61605.47,608,1061397.08
3,saver,24,70953.9,1397.8,72351.7,23620.03,608,1110128.75
4,debt_heavy,1,66806.56,4818.1,71624.66,58013.77,10301,37321.89
4,debt_heavy,2,62516.01,1925.49,64441.5,53228.71,10301,48534.68
4,debt_heavy,3,62659.45,847.46,63506.91,52606.13,10301,59435.46
4,debt_heavy,4,66611.89,3480.15,70092.04,56992.82,10301,72534.68
4,debt_heavy,5,61256.86,3075.04,64331.89,53155.7,10301,83710.88
4,debt_heavy,6,61530.73,2591.65,64122.38,53016.13,10301,94817.13
4,debt_heavy,7,65364.78,3485.08,68849.86,56165.34,10301,107501.65
4,debt_heavy,8,62931.16,1467.96,64399.12,53200.48,10301,118700.29
4,debt_heavy,9,65807.39,4335.36,70142.75,57026.6,10301,131816.45
4,debt_heavy,10,63900.4,2507.58,66407.98,77512.1,10301,120712.32
4,debt_heavy,11,65117.11,3978.96,69096.08,81921.22,10301,107887.18
4,debt_heavy,12,66185.56,469.91,66655.47,54703.55,10301,119839.1
4,debt_heavy,13,63909.31,2327.99,66237.3,54424.98,10301,131651.42
4,debt_heavy,14,65588.81,2954.17,68542.98,70511.54,10301,129682.86
4,debt_heavy,15,69181.45,1800.95,70982.4,57585.93,10301,143079.33
4,debt_heavy,16,67168.47,3849.97,71018.44,57609.94,10301,156487.84
4,debt_heavy,17,67843.0,426.74,68269.74,81504.71,10301,143252.87
4,debt_heavy,18,67291.73,3187.15,70478.88,57250.51,10301,156481.24
4,debt_heavy,19,70208.53,2581.5,72790.03,58790.09,10301,170481.19
4,debt_heavy,20,68997.72,1354.16,70351.88,57165.91,10301,183667.16
4,debt_heavy,21,64194.24,126.75,64320.99,53148.43,10301,194839.72
4,debt_heavy,22,69271.12,3479.87,72750.99,76384.34,10301,191206.37
4,debt_heavy,23,64716.86,1251.21,65968.08,72688.79,10301,184485.66
4,debt_heavy,24,71335.56,1399.67,72735.23,58753.58,10301,198467.31
5,debt_heavy,1,37868.15,2830.19,40698.34,49884.21,20486,12778.13
5,debt_heavy,2,38155.5,1709.4,39864.9,59276.71,20486,-6633.68
5,debt_heavy,3,38914.03,4897.55,43811.58,52133.04,20486,-14955.14
5,debt_heavy,4,37746.96,3816.82,41563.79,50509.36,20486,-23900.71
5,debt_heavy,5,39052.41,2323.37,41375.78,50373.55,20486,-32898.48
5,debt_heavy,6,37869.51,4745.73,42615.24,51268.87,20486,-41552.11
5,debt_heavy,7,38713.66,76.52,38790.18,48505.86,20486,-51267.79
5,debt_heavy,8,39666.12,2696.89,42363.01,51086.67,20486,-59991.45
5,debt_heavy,9,40121.49,4719.46,44840.95,52876.6,20486,-68027.1
5,debt_heavy,10,41118.38,3182.02,44300.4,69138.36,20486,-92865.06
5,debt_heavy,11,39952.99,642.5,40595.49,65189.77,20486,-117459.34
5,debt_heavy,12,42169.58,4102.13,46271.71,53910.1,20486,-125097.73
5,debt_heavy,13,40423.58,1369.81,41793.39,50675.21,20486,-133979.55
5,debt_heavy,14,41133.94,194.82,41328.76,50339.59,20486,-142990.38
5,debt_heavy,15,40964.43,3278.61,44243.04,52444.7,20486,-151192.04
5,debt_heavy,16,42401.43,1703.12,44104.55,52344.67,20486,-159432.15
5,debt_heavy,17,41628.6,3464.45,45093.05,53058.7,20486,-167397.8
5,debt_heavy,18,43463.53,195.93,43659.46,52023.15,20486,-175761.5
5,debt_heavy,19,43592.34,2739.86,46332.2,53953.8,20486,-183383.09
5,debt_heavy,20,41930.45,2879.62,44810.08,52854.3,20486,-191427.31
5,debt_heavy,21,40094.61,1250.08,41344.69,50351.1,20486,-200433.71
5,debt_heavy,22,43173.96,2809.33,45983.29,63514.99,20486,-217965.41
5,debt_heavy,23,42644.2,1191.18,43835.38,63267.28,20486,-237397.3
5,debt_heavy,24,43613.2,1948.09,45561.29,53396.93,20486,-245232.94
6,stable,1,107870.81,4784.0,112654.81,84095.27,6171,50338.54
6,stable,2,109267.68,2465.13,111732.8,110187.21,6171,51884.14
6,stable,3,110580.31,2768.52,113348.82,84575.32,6171,80657.64
6,stable,4,114343.0,3906.48,118249.48,87965.15,6171,110941.98
6,stable,5,114175.91,4871.24,119047.15,88516.9,6171,141472.22
6,stable,6,104597.61,3685.18,108282.79,81071.1,6171,168683.91
6,stable,7,111712.01,4843.26,116555.27,86793.25,6171,198445.93
6,stable,8,113147.37,4334.34,117481.72,87434.08,6171,228493.57
6,stable,9,108650.0,1112.88,109762.89,82094.9,6171,256161.56
6,stable,10,113748.66,733.02,114481.69,117456.22,6171,253187.03
6,stable,11,110348.96,4315.69,114664.65,129278.51,6171,238573.17
6,stable,12,119617.65,2959.44,122577.1,90958.6,6171,270191.67
6,stable,13,117324.62,2408.33,119732.95,88991.28,6171,300933.35
6,stable,14,117289.02,1243.62,118532.65,88161.01,6171,331304.98
6,stable,15,114178.59,1268.41,115447.0,86026.65,6171,360725.33
6,stable,16,115753.4,3704.87,119458.27,88801.28,6171,391382.32
6,stable,17,118641.84,3721.06,122362.9,90810.43,6171,422934.79
6,stable,18,111915.06,2001.11,113916.18,84967.76,6171,451883.2
6,stable,19,110138.04,2641.85,112779.89,84181.79,6171,480481.31
6,stable,20,118404.15,4889.5,123293.65,91454.24,6171,512320.72
6,stable,21,112894.05,217.0,113111.05,84410.85,6171,541020.92
6,stable,22,119748.93,1264.95,121013.88,177305.25,6171,484729.55
6,stable,23,111677.18,1472.47,113149.65,131266.98,6171,466612.22
6,stable,24,119010.63,3685.5,122696.14,91040.94,6171,498267.42
7,volatile,1,41515.82,940.61,42456.43,32932.56,7575,35970.86
7,volatile,2,40421.41,388.67,40810.08,31949.27,7575,44831.68
7,volatile,3,43017.58,2680.48,45698.06,34868.67,7575,55661.07
7,volatile,4,42310.28,813.08,43123.37,33330.9,7575,65453.54
7,volatile,5,42346.14,3628.6,45974.74,35033.92,7575,76394.37
7,volatile,6,40687.61,4330.32,45017.93,42883.15,7575,78529.14
7,volatile,7,40516.22,4936.38,45452.6,34722.06,7575,89259.68
7,volatile,8,41409.15,4849.57,46258.72,35203.53,7575,100314.88
7,volatile,9,42410.93,2074.1,44485.02,34144.17,7575,110655.74
7,volatile,10,39203.12,4064.51,43267.62,48919.38,7575,105003.98
7,volatile,11,41250.4,4723.83,45974.23,49857.38,7575,101120.82
7,volatile,12,33698.07,3030.87,36728.94,29511.76,7575,108338.01
7,volatile,13,43813.74,1790.81,45604.55,34812.81,7575,119129.74
7,volatile,14,43813.19,3861.59,47674.78,36049.28,7575,130755.24
7,volatile,15,44591.14,2804.69,47395.83,35882.68,7575,142268.39
7,volatile,16,21697.55,3775.69,25473.24,22789.17,7575,144952.46
7,volatile,17,43953.21,681.86,44635.06,46904.53,7575,142683.0
7,volatile,18,43461.46,2187.37,45648.84,34839.27,7575,153492.57
